,acc_norm,acc_norm_stderr,acc_stderr,acc
count,55.0,55.0,55.0,55.0
mean,0.6262352664264633,0.004800131519513647,0.004971482038412887,0.4711864713657185
std,0.052100056809963484,6.548578013893849e-05,8.274294007417092e-05,0.030820103626936133
min,0.2586138219478192,0.004369780529824001,0.0043730622833765016,0.2592113124875523
25%,0.6357299342760406,0.004799317209901998,0.004984452002563926,0.47689703246365267
50%,0.6367257518422625,0.004799599840397406,0.0049848576711871056,0.47779326827325236
75%,0.6368253335988847,0.004801852881329741,0.004984989320648131,0.4780920135431189
max,0.6382194781915953,0.004937490199489439,0.004985119183640752,0.4783907588129855
