,acc_norm,acc_norm_stderr,acc_stderr,acc
count,53.0,53.0,53.0,53.0
mean,0.542440617331735,0.00481171153322962,0.004867067604601844,0.4218057742387632
std,0.12520714544496456,0.00018654378483209084,0.00022077928814403258,0.0752164670892014
min,0.2557259510057757,0.004353768730644567,0.00434594938238233,0.25433180641306513
25%,0.5318661621190998,0.004840493603166209,0.004894210011303204,0.4026090420235013
50%,0.6033658633738299,0.004859930926500289,0.004975919665116538,0.4627564230233021
75%,0.6186018721370244,0.004914130855431791,0.004980687467486099,0.4698267277434774
max,0.6231826329416451,0.004989400984722217,0.0049843132057914305,0.4765982871937861
