,acc_norm,acc_norm_stderr,acc_stderr,acc
count,50.0,50.0,50.0,50.0
mean,0.38818562039434373,0.004659665827809977,0.004617169331496848,0.3310157339175463
std,0.1382072083522953,0.00027850767026873976,0.00027131368163275775,0.08245837843817458
min,0.25562636924915355,0.004353212146198464,0.004342017709967996,0.25363473411670984
25%,0.26190001991635137,0.004387697780139459,0.004362219764263792,0.2572445727942641
50%,0.28101971718781116,0.004485781063391583,0.004399467868829075,0.2640908185620394
75%,0.5534754033061142,0.004941868043345911,0.0049459576681441485,0.43425114519020114
max,0.5843457478589922,0.004978124945759849,0.004968521608065465,0.4538936466839275
