,acc_norm,acc_norm_stderr,acc_stderr,acc
count,50.0,50.0,50.0,50.0
mean,0.3636347341167098,0.004617489872437391,0.004573045884266359,0.31656044612626966
std,0.12995329131759367,0.0002793907610288892,0.00025805644133270264,0.07632992584508197
min,0.25114519020115517,0.004327855588466412,0.004341454841892319,0.2535351523600876
25%,0.260655247958574,0.004380949424394239,0.004364011808101144,0.2575682135032862
50%,0.26862178848834894,0.0044233684125656,0.004384997853925702,0.2614021111332404
75%,0.45576080462059354,0.004952389854817929,0.004788339228610832,0.3593656642103167
max,0.5854411471818363,0.004989698183207821,0.004965375341643139,0.4506074487153953
